"fishing_style","extreme_event","node","est","n","prob","f.style"
"small_scale","sto","societal_risk","low",19452,0.19452,"ssf"
"small_scale","sto","societal_risk","medium",42546,0.42546,"ssf"
"small_scale","sto","societal_risk","high",38002,0.38002,"ssf"
"small_scale","erf","economic_risk","low",61195,0.61195,"ssf"
"small_scale","erf","economic_risk","medium",24493,0.24493,"ssf"
"small_scale","erf","economic_risk","high",14312,0.14312,"ssf"
"small_scale","erf","individual_risk","low",49719,0.49719,"ssf"
"small_scale","erf","individual_risk","medium",30859,0.30859,"ssf"
"small_scale","erf","individual_risk","high",19422,0.19422,"ssf"
"small_scale","erf","societal_risk","low",49719,0.49719,"ssf"
"small_scale","erf","societal_risk","medium",29256,0.29256,"ssf"
"small_scale","erf","societal_risk","high",21025,0.21025,"ssf"
"small_scale","ici","economic_risk","Not Relevant",100000,1,"ssf"
"small_scale","ici","individual_risk","Not Relevant",100000,1,"ssf"
"small_scale","ici","societal_risk","Not Relevant",100000,1,"ssf"
"household","abl","economic_risk","low",100000,1,"hhf"
"household","abl","individual_risk","medium",100000,1,"hhf"
"household","abl","societal_risk","medium",100000,1,"hhf"
"household","hws","economic_risk","low",66421,0.66421,"hhf"
"household","hws","economic_risk","medium",7488,0.07488,"hhf"
"household","hws","economic_risk","high",26091,0.26091,"hhf"
"household","hws","individual_risk","low",42482,0.42482,"hhf"
"household","hws","individual_risk","medium",56608,0.56608,"hhf"
"household","hws","individual_risk","high",910,0.0091,"hhf"
"household","hws","societal_risk","low",42482,0.42482,"hhf"
"household","hws","societal_risk","medium",57183,0.57183,"hhf"
"household","hws","societal_risk","high",335,0.00335,"hhf"
"household","hww","economic_risk","low",100000,1,"hhf"
"household","hww","individual_risk","low",57802,0.57802,"hhf"
"household","hww","individual_risk","medium",41552,0.41552,"hhf"
"household","hww","individual_risk","high",646,0.00646,"hhf"
"household","hww","societal_risk","low",57802,0.57802,"hhf"
"household","hww","societal_risk","medium",41963,0.41963,"hhf"
"household","hww","societal_risk","high",235,0.00235,"hhf"
"household","gal","economic_risk","low",28632,0.28632,"hhf"
"household","gal","economic_risk","medium",29007,0.29007,"hhf"
"household","gal","economic_risk","high",42361,0.42361,"hhf"
"household","gal","individual_risk","low",63300,0.633,"hhf"
"household","gal","individual_risk","medium",36377,0.36377,"hhf"
"household","gal","individual_risk","high",323,0.00323,"hhf"
"household","gal","societal_risk","low",63300,0.633,"hhf"
"household","gal","societal_risk","medium",36564,0.36564,"hhf"
"household","gal","societal_risk","high",136,0.00136,"hhf"
"household","sto","economic_risk","low",100000,1,"hhf"
"household","sto","individual_risk","medium",100000,1,"hhf"
"household","sto","societal_risk","medium",100000,1,"hhf"
"household","erf","economic_risk","low",100000,1,"hhf"
"household","erf","individual_risk","medium",100000,1,"hhf"
"household","erf","societal_risk","medium",100000,1,"hhf"
"household","ici","economic_risk","Not Relevant",100000,1,"hhf"
"household","ici","individual_risk","Not Relevant",100000,1,"hhf"
"household","ici","societal_risk","Not Relevant",100000,1,"hhf"
"trawler","abl","economic_risk","low",100000,1,"trw"
"trawler","abl","individual_risk","low",44867,0.44867,"trw"
"trawler","abl","individual_risk","medium",51099,0.51099,"trw"
