"fishing_style","extreme_event","node","est","n","prob","f.style"
"small_scale","sto","societal_risk","low",19455,0.19455,"ssf"
"small_scale","sto","societal_risk","medium",42635,0.42635,"ssf"
"small_scale","sto","societal_risk","high",37910,0.3791,"ssf"
"small_scale","erf","economic_risk","low",61117,0.61117,"ssf"
"small_scale","erf","economic_risk","medium",24493,0.24493,"ssf"
"small_scale","erf","economic_risk","high",14390,0.1439,"ssf"
"small_scale","erf","individual_risk","low",49504,0.49504,"ssf"
"small_scale","erf","individual_risk","medium",30817,0.30817,"ssf"
"small_scale","erf","individual_risk","high",19679,0.19679,"ssf"
"small_scale","erf","societal_risk","low",49504,0.49504,"ssf"
"small_scale","erf","societal_risk","medium",29293,0.29293,"ssf"
"small_scale","erf","societal_risk","high",21203,0.21203,"ssf"
"small_scale","ici","economic_risk","Not Relevant",100000,1,"ssf"
"small_scale","ici","individual_risk","Not Relevant",100000,1,"ssf"
"small_scale","ici","societal_risk","Not Relevant",100000,1,"ssf"
"household","abl","economic_risk","low",100000,1,"hhf"
"household","abl","individual_risk","medium",100000,1,"hhf"
"household","abl","societal_risk","medium",100000,1,"hhf"
"household","hws","economic_risk","low",66780,0.6678,"hhf"
"household","hws","economic_risk","medium",7421,0.07421,"hhf"
"household","hws","economic_risk","high",25799,0.25799,"hhf"
"household","hws","individual_risk","low",42240,0.4224,"hhf"
"household","hws","individual_risk","medium",56804,0.56804,"hhf"
"household","hws","individual_risk","high",956,0.00956,"hhf"
"household","hws","societal_risk","low",42240,0.4224,"hhf"
"household","hws","societal_risk","medium",57358,0.57358,"hhf"
"household","hws","societal_risk","high",402,0.00402,"hhf"
"household","hww","economic_risk","low",100000,1,"hhf"
"household","hww","individual_risk","low",58350,0.5835,"hhf"
"household","hww","individual_risk","medium",40982,0.40982,"hhf"
"household","hww","individual_risk","high",668,0.00668,"hhf"
"household","hww","societal_risk","low",58350,0.5835,"hhf"
"household","hww","societal_risk","medium",41397,0.41397,"hhf"
"household","hww","societal_risk","high",253,0.00253,"hhf"
"household","gal","economic_risk","low",28450,0.2845,"hhf"
"household","gal","economic_risk","medium",29224,0.29224,"hhf"
"household","gal","economic_risk","high",42326,0.42326,"hhf"
"household","gal","individual_risk","low",63212,0.63212,"hhf"
"household","gal","individual_risk","medium",36440,0.3644,"hhf"
"household","gal","individual_risk","high",348,0.00348,"hhf"
"household","gal","societal_risk","low",63212,0.63212,"hhf"
"household","gal","societal_risk","medium",36648,0.36648,"hhf"
"household","gal","societal_risk","high",140,0.0014,"hhf"
"household","sto","economic_risk","low",100000,1,"hhf"
"household","sto","individual_risk","medium",100000,1,"hhf"
"household","sto","societal_risk","medium",100000,1,"hhf"
"household","erf","economic_risk","low",100000,1,"hhf"
"household","erf","individual_risk","medium",100000,1,"hhf"
"household","erf","societal_risk","medium",100000,1,"hhf"
"household","ici","economic_risk","Not Relevant",100000,1,"hhf"
"household","ici","individual_risk","Not Relevant",100000,1,"hhf"
"household","ici","societal_risk","Not Relevant",100000,1,"hhf"
"trawler","abl","economic_risk","low",100000,1,"trw"
"trawler","abl","individual_risk","low",44491,0.44491,"trw"
"trawler","abl","individual_risk","medium",51506,0.51506,"trw"
"trawler","abl","individual_risk","high",4003,0.04003,"trw"
"trawler","abl","societal_risk","low",44491,0.44491,"trw"
"trawler","abl","societal_risk","medium",51506,0.51506,"trw"
"trawler","abl","societal_risk","high",4003,0.04003,"trw"
"trawler","hws","economic_risk","low",100000,1,"trw"
"trawler","hws","individual_risk","low",70907,0.70907,"trw"
"trawler","hws","individual_risk","medium",28079,0.28079,"trw"
"trawler","hws","individual_risk","high",1014,0.01014,"trw"
"trawler","hws","societal_risk","low",70907,0.70907,"trw"
"trawler","hws","societal_risk","medium",28079,0.28079,"trw"
"trawler","hws","societal_risk","high",1014,0.01014,"trw"
"trawler","hww","economic_risk","low",100000,1,"trw"
"trawler","hww","individual_risk","low",92836,0.92836,"trw"
"trawler","hww","individual_risk","medium",7134,0.07134,"trw"
"trawler","hww","individual_risk","high",30,3e-04,"trw"
"trawler","hww","societal_risk","low",92836,0.92836,"trw"
"trawler","hww","societal_risk","medium",7134,0.07134,"trw"
"trawler","hww","societal_risk","high",30,3e-04,"trw"
"trawler","gal","economic_risk","low",100000,1,"trw"
"trawler","gal","individual_risk","low",21225,0.21225,"trw"
"trawler","gal","individual_risk","medium",51698,0.51698,"trw"
"trawler","gal","individual_risk","high",27077,0.27077,"trw"
"trawler","gal","societal_risk","low",21225,0.21225,"trw"
"trawler","gal","societal_risk","medium",51698,0.51698,"trw"
"trawler","gal","societal_risk","high",27077,0.27077,"trw"
"trawler","sto","economic_risk","low",99082,0.99082,"trw"
"trawler","sto","economic_risk","medium",918,0.00918,"trw"
"trawler","sto","individual_risk","low",53322,0.53322,"trw"
