"","extreme_event","node","est","n","prob","iter"
"112","abl","strategy_to_change","adapt",19489,0.19489,2
"113","hws","economic_risk","low",81306,0.81306,2
"114","hws","economic_risk","medium",8441,0.08441,2
"115","hws","economic_risk","high",10253,0.10253,2
"116","hws","go_fishing","no",7268,0.07268,2
"117","hws","go_fishing","yes",92732,0.92732,2
"118","hws","individual_risk","low",49034,0.49034,2
"119","hws","individual_risk","medium",44230,0.4423,2
"120","hws","individual_risk","high",6736,0.06736,2
"121","hws","societal_risk","low",49034,0.49034,2
"122","hws","societal_risk","medium",47543,0.47543,2
"123","hws","societal_risk","high",3423,0.03423,2
"124","hws","strategy_to_change","cope",13931,0.13931,2
"125","hws","strategy_to_change","react",50336,0.50336,2
"126","hws","strategy_to_change","adapt",35733,0.35733,2
"127","hww","economic_risk","low",81198,0.81198,2
"128","hww","economic_risk","medium",2108,0.02108,2
"129","hww","economic_risk","high",16694,0.16694,2
"130","hww","go_fishing","no",34983,0.34983,2
"131","hww","go_fishing","yes",65017,0.65017,2
"132","hww","individual_risk","low",41724,0.41724,2
"133","hww","individual_risk","medium",34607,0.34607,2
"134","hww","individual_risk","high",23669,0.23669,2
"135","hww","societal_risk","low",41724,0.41724,2
"136","hww","societal_risk","medium",48902,0.48902,2
"137","hww","societal_risk","high",9374,0.09374,2
"138","hww","strategy_to_change","cope",68255,0.68255,2
"139","hww","strategy_to_change","react",12902,0.12902,2
"140","hww","strategy_to_change","adapt",18843,0.18843,2
"141","gal","economic_risk","low",47853,0.47853,2
"142","gal","economic_risk","medium",19972,0.19972,2
"143","gal","economic_risk","high",32175,0.32175,2
"144","gal","go_fishing","no",21430,0.2143,2
"145","gal","go_fishing","yes",78570,0.7857,2
"146","gal","individual_risk","low",40093,0.40093,2
"147","gal","individual_risk","medium",41789,0.41789,2
"148","gal","individual_risk","high",18118,0.18118,2
"149","gal","societal_risk","low",40093,0.40093,2
"150","gal","societal_risk","medium",46740,0.4674,2
"151","gal","societal_risk","high",13167,0.13167,2
"152","gal","strategy_to_change","cope",55146,0.55146,2
"153","gal","strategy_to_change","react",39114,0.39114,2
"154","gal","strategy_to_change","adapt",5740,0.0574,2
"155","sto","economic_risk","low",70148,0.70148,2
"156","sto","economic_risk","medium",5844,0.05844,2
"157","sto","economic_risk","high",24008,0.24008,2
"158","sto","go_fishing","no",79180,0.7918,2
"159","sto","go_fishing","yes",20820,0.2082,2
"160","sto","individual_risk","low",14131,0.14131,2
"161","sto","individual_risk","medium",49677,0.49677,2
"162","sto","individual_risk","high",36192,0.36192,2
"163","sto","societal_risk","low",14131,0.14131,2
"164","sto","societal_risk","medium",67619,0.67619,2
"165","sto","societal_risk","high",18250,0.1825,2
"166","sto","strategy_to_change","cope",79180,0.7918,2
"167","sto","strategy_to_change","react",20820,0.2082,2
"168","erf","economic_risk","low",72473,0.72473,2
"169","erf","economic_risk","medium",5206,0.05206,2
"170","erf","economic_risk","high",22321,0.22321,2
"171","erf","go_fishing","no",69706,0.69706,2
"172","erf","go_fishing","yes",30294,0.30294,2
"173","erf","individual_risk","low",17792,0.17792,2
"174","erf","individual_risk","medium",47445,0.47445,2
"175","erf","individual_risk","high",34763,0.34763,2
"176","erf","societal_risk","low",17792,0.17792,2
"177","erf","societal_risk","medium",65164,0.65164,2
"178","erf","societal_risk","high",17044,0.17044,2
"179","erf","strategy_to_change","cope",100000,1,2
"180","ici","economic_risk","low",2565,0.02565,2
"181","ici","economic_risk","medium",9677,0.09677,2
"182","ici","economic_risk","high",27783,0.27783,2
"183","ici","economic_risk","not_relevant",59975,0.59975,2
"184","ici","go_fishing","no",52725,0.52725,2
"185","ici","go_fishing","yes",47275,0.47275,2
"186","ici","individual_risk","low",5,5e-05,2
"187","ici","individual_risk","medium",4502,0.04502,2
"188","ici","individual_risk","high",35518,0.35518,2
"189","ici","individual_risk","not_relevant",59975,0.59975,2
"190","ici","societal_risk","low",5,5e-05,2
"191","ici","societal_risk","medium",21537,0.21537,2
"192","ici","societal_risk","high",18483,0.18483,2
"193","ici","societal_risk","not_relevant",59975,0.59975,2
"194","ici","strategy_to_change","not_relevant",59975,0.59975,2
"195","ici","strategy_to_change","cope",22619,0.22619,2
"196","ici","strategy_to_change","react",17406,0.17406,2
"197","abl","economic_risk","low",71309,0.71309,3
"198","abl","economic_risk","medium",8454,0.08454,3
"199","abl","economic_risk","high",20237,0.20237,3
"200","abl","go_fishing","no",39089,0.39089,3
"201","abl","go_fishing","yes",60911,0.60911,3
"202","abl","individual_risk","low",33451,0.33451,3
"203","abl","individual_risk","medium",46280,0.4628,3
"204","abl","individual_risk","high",20269,0.20269,3
"205","abl","societal_risk","low",33451,0.33451,3
"206","abl","societal_risk","medium",59855,0.59855,3
"207","abl","societal_risk","high",6694,0.06694,3
"208","abl","strategy_to_change","cope",72650,0.7265,3
"209","abl","strategy_to_change","react",5935,0.05935,3
"210","abl","strategy_to_change","adapt",21415,0.21415,3
"211","hws","economic_risk","low",83646,0.83646,3
"212","hws","economic_risk","medium",7018,0.07018,3
"213","hws","economic_risk","high",9336,0.09336,3
"214","hws","go_fishing","no",9870,0.0987,3
"215","hws","go_fishing","yes",90130,0.9013,3
"216","hws","individual_risk","low",48361,0.48361,3
"217","hws","individual_risk","medium",44407,0.44407,3
"218","hws","individual_risk","high",7232,0.07232,3
"219","hws","societal_risk","low",48361,0.48361,3
"220","hws","societal_risk","medium",48042,0.48042,3
"221","hws","societal_risk","high",3597,0.03597,3
"222","hws","strategy_to_change","cope",22461,0.22461,3
"223","hws","strategy_to_change","react",43281,0.43281,3
"224","hws","strategy_to_change","adapt",34258,0.34258,3
"225","hww","economic_risk","low",75739,0.75739,3
"226","hww","economic_risk","medium",3449,0.03449,3
"227","hww","economic_risk","high",20812,0.20812,3
"228","hww","go_fishing","no",38681,0.38681,3
"229","hww","go_fishing","yes",61319,0.61319,3
"230","hww","individual_risk","low",44204,0.44204,3
"231","hww","individual_risk","medium",27474,0.27474,3
"232","hww","individual_risk","high",28322,0.28322,3
"233","hww","societal_risk","low",44204,0.44204,3
"234","hww","societal_risk","medium",45222,0.45222,3
"235","hww","societal_risk","high",10574,0.10574,3
"236","hww","strategy_to_change","cope",71344,0.71344,3
"237","hww","strategy_to_change","react",14561,0.14561,3
