"","fishing_style","node","est","n","prob","iter"
"109","guide","strategy_to_change","react",5493,0.05493,1
"110","guide","strategy_to_change","adapt",18460,0.1846,1
"111","guide","substitution_capacity","no",100000,1,1
"112","recreational","economic_buffers","low",100000,1,2
"113","recreational","economic_risk","low",73863,0.73863,2
"114","recreational","economic_risk","medium",7170,0.0717,2
"115","recreational","economic_risk","high",4587,0.04587,2
"116","recreational","economic_risk","not_relevant",14380,0.1438,2
"117","recreational","go_fishing","no",45501,0.45501,2
"118","recreational","go_fishing","yes",54499,0.54499,2
"119","recreational","individual_importance","medium",51543,0.51543,2
"120","recreational","individual_importance","high",48457,0.48457,2
"121","recreational","individual_risk","low",26651,0.26651,2
"122","recreational","individual_risk","medium",39781,0.39781,2
"123","recreational","individual_risk","high",19188,0.19188,2
"124","recreational","individual_risk","not_relevant",14380,0.1438,2
"125","recreational","societal_importance","medium",55386,0.55386,2
"126","recreational","societal_importance","high",44614,0.44614,2
"127","recreational","societal_risk","low",26651,0.26651,2
"128","recreational","societal_risk","medium",41163,0.41163,2
"129","recreational","societal_risk","high",17806,0.17806,2
"130","recreational","societal_risk","not_relevant",14380,0.1438,2
"131","recreational","strategy_to_change","not_relevant",14380,0.1438,2
"132","recreational","strategy_to_change","cope",38347,0.38347,2
"133","recreational","strategy_to_change","react",12051,0.12051,2
"134","recreational","strategy_to_change","adapt",35222,0.35222,2
"135","recreational","substitution_capacity","no",99974,0.99974,2
"136","recreational","substitution_capacity","yes",26,0.00026,2
"137","small_scale","economic_buffers","low",90209,0.90209,2
"138","small_scale","economic_buffers","medium",9791,0.09791,2
"139","small_scale","economic_risk","low",51233,0.51233,2
"140","small_scale","economic_risk","medium",19834,0.19834,2
"141","small_scale","economic_risk","high",14574,0.14574,2
"142","small_scale","economic_risk","not_relevant",14359,0.14359,2
"143","small_scale","go_fishing","no",36557,0.36557,2
"144","small_scale","go_fishing","yes",63443,0.63443,2
"145","small_scale","individual_importance","medium",1152,0.01152,2
"146","small_scale","individual_importance","high",98848,0.98848,2
"147","small_scale","individual_risk","low",32684,0.32684,2
"148","small_scale","individual_risk","medium",37697,0.37697,2
"149","small_scale","individual_risk","high",15260,0.1526,2
"150","small_scale","individual_risk","not_relevant",14359,0.14359,2
"151","small_scale","societal_importance","high",100000,1,2
"152","small_scale","societal_risk","low",32684,0.32684,2
"153","small_scale","societal_risk","medium",37518,0.37518,2
"154","small_scale","societal_risk","high",15439,0.15439,2
"155","small_scale","societal_risk","not_relevant",14359,0.14359,2
"156","small_scale","strategy_to_change","not_relevant",14359,0.14359,2
"157","small_scale","strategy_to_change","cope",55772,0.55772,2
"158","small_scale","strategy_to_change","react",26563,0.26563,2
"159","small_scale","strategy_to_change","adapt",3306,0.03306,2
"160","small_scale","substitution_capacity","no",42183,0.42183,2
"161","small_scale","substitution_capacity","yes",57817,0.57817,2
"162","household","economic_buffers","low",100000,1,2
"163","household","economic_risk","low",68470,0.6847,2
"164","household","economic_risk","medium",5936,0.05936,2
"165","household","economic_risk","high",11171,0.11171,2
"166","household","economic_risk","not_relevant",14423,0.14423,2
"167","household","go_fishing","no",60195,0.60195,2
"168","household","go_fishing","yes",39805,0.39805,2
"169","household","individual_importance","medium",62021,0.62021,2
"170","household","individual_importance","high",37979,0.37979,2
"171","household","individual_risk","low",23922,0.23922,2
"172","household","individual_risk","medium",61510,0.6151,2
"173","household","individual_risk","high",145,0.00145,2
